Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C19, C2, C20, C21, C22, C23, C24, C3, C37, C38, C39, C4, C40, C43, C8, C9",C_0805_2012Metric,19,100nF,
"C11, C12, C13, C5, C6, C7",CP_Elec_5x3,6,10uF,
"C15, C16, C17, C18, C28, C29, C30, C31, C32, C33, C35, C36",C_0805_2012Metric,12,47pF,
"C25, C26, C27, C34, C41, C42",C_0805_2012Metric,6,10nF,
D1,TO-269AA,1,MB2S,
J1,DIP-40_W15.24mm_Socket,1,Daisy_Seed_Temp,
J10,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV4_INPUT,
J11,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,1VOCT1_IN,
J12,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MAIN_OUT1,
J13,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MAIN_OUT2,
J14,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MAIN_OUT4,
J15,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,MAIN_OUT3,
J16,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,GATE_TRIGGER_IN,
J17,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,1VOCT2_IN,
J18,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_MountingPin,
J2,PinSocket_1x07_P2.54mm_Vertical,1,DISP_3_128X64,
J3,microSD_HC_Wuerth_693072010801,1,Micro_SD_Card,
J4,PinSocket_2x05_P2.54mm_Vertical,1,EURO_PWR,
J5,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,AUDIO_IN_1L,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,AUDIO_IN_2R,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV1_INPUT,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV2_INPUT,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,CV3_INPUT,
L1,L_0805_2012Metric,1,10uH,
PS1,DLW05A12,1,DLW05A-12,
Q1,SOT-23,1,MMBT3904,
"R1, R2, R3, R4, R5",R_0805_2012Metric,5,47k,
"R10, R11, R12, R13, R14, R15, R19, R22, R25, R28, R34, R35, R36, R37, R38, R39, R44, R45, R49, R50, R51, R52, R53, R58, R62, R8, R9",R_0805_2012Metric,27,100k,
"R16, R17, R40, R41, R54, R55, R64",R_0805_2012Metric,7,1k,
"R18, R21, R24, R27, R48, R61",R_0805_2012Metric,6,200k,
"R20, R23, R26, R29, R30, R31, R46, R47, R56, R57, R63, R65",R_0805_2012Metric,12,66.5k,
"R32, R33, R42, R43, R60",R_0805_2012Metric,5,10k,
R59,R_0805_2012Metric,1,1M,
"R6, R7",R_0805_2012Metric,2,4.7R,
RV1,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,CV_CNTRL_1,
RV2,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,CV_CNTRL_2,
RV3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,CV_CNTRL_3,
RV4,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,1,CV_CNTRL_4,
"RV5, RV6",Potentiometer_Bourns_3266W_Vertical,2,IN_CAL_TRIM,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,CS4334,
U2,SOT-23-5,1,AP2204K-3.3,
U3,SOT-223,1,LM1117-5.0,
U4,SOT-23,1,LM4040DBZ-5,
"U5, U6, U7",SOIC-14_3.9x8.7mm_P1.27mm,3,TL074,
U8,TSSOP-14_4.4x5mm_P0.65mm,1,MCP6004,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,
